old_path,new_path,layout_role,benchmark_family,model,implementation,provenance,dataset,context_mode,feature_set,purpose,scope,is_ablation,is_smoke,is_formal,is_modality_missing,is_project_variant,is_paper_aligned,is_official,ablation_variable,controlled_variables_sha256,pre_move_sha256,post_move_sha256,yaml_content_changed,approved_changed_keys,active_reference_count,test_reference_count,doc_reference_count,yaml_reference_count,status,notes
configs/baselines/multidag_cl/iemocap/formal/context_past_all_causal_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_past_all_causal_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,iemocap,causal_context,legacy_mmgcn_features,context_ablation,model,YES,NO,YES,NO,NO,NO,NO,"{""graph.context_mode"":""past_all_causal""}",fa2eab9bb00e3e35668e63e11a9aed9d2b1210d2e403cf8c3230455ec5870c13,f2d30a2f0b3f662aba7f1f12b1e812f643f8628a688889b0a4204f47200e8042,f2d30a2f0b3f662aba7f1f12b1e812f643f8628a688889b0a4204f47200e8042,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned Batch 6 canonical path; byte content preserved; active references audited.
configs/baselines/multidag_cl/iemocap/formal/context_w0_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w0_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,iemocap,causal_context,legacy_mmgcn_features,context_ablation,model,YES,NO,YES,NO,NO,NO,NO,"{""graph.context_mode"":""causal"",""graph.window_past"":0}",82fe967f13bc8e9d248a6b496d740c288dfd16a813a1a02f9aebaa0c6f4c56f8,40c8aec4f975424278131d3c85e6d60fdb16a297f09b8fafbf1abfc8296c4215,40c8aec4f975424278131d3c85e6d60fdb16a297f09b8fafbf1abfc8296c4215,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned Batch 6 canonical path; byte content preserved; active references audited.
configs/baselines/multidag_cl/iemocap/formal/context_w1_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w1_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,iemocap,causal_context,legacy_mmgcn_features,context_ablation,model,YES,NO,YES,NO,NO,NO,NO,"{""graph.context_mode"":""causal"",""graph.window_past"":1}",a01995a5ed102f0b4d43136ea6c333dcc24874051685fbed6cdccd46e674610b,54ed38fe5df32004fa7e4cbc161dbd1a5d64fa5a37ee343b89d285d0aaafde7f,54ed38fe5df32004fa7e4cbc161dbd1a5d64fa5a37ee343b89d285d0aaafde7f,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned Batch 6 canonical path; byte content preserved; active references audited.
configs/baselines/multidag_cl/iemocap/formal/context_w3_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w3_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,iemocap,causal_context,legacy_mmgcn_features,context_ablation,model,YES,NO,YES,NO,NO,NO,NO,"{""graph.context_mode"":""causal"",""graph.window_past"":3}",e98ae90e00474459dda8e83546f18045fee839122ad0950a256a91d122e8e722,cfea84afd7188722229dbd953d1a7179dc30212a2116647c9b6f2ec13975958d,cfea84afd7188722229dbd953d1a7179dc30212a2116647c9b6f2ec13975958d,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned Batch 6 canonical path; byte content preserved; active references audited.
configs/baselines/multidag_cl/iemocap/formal/context_w5_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w5_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,iemocap,causal_context,legacy_mmgcn_features,context_ablation,model,YES,NO,YES,NO,NO,NO,NO,"{""graph.context_mode"":""causal"",""graph.window_past"":5}",93c53acab4337f594715db563cd2acff227f115eed92b9473e64456190d610e6,abab64e3f5032a2ded897498714b232514ed6373e848e76c2c83bb6fccfcce99,abab64e3f5032a2ded897498714b232514ed6373e848e76c2c83bb6fccfcce99,NO,,2,0,0,1,MOVED,Moved with git mv to the exact planned Batch 6 canonical path; byte content preserved; active references audited.
configs/baselines/multidag_cl/iemocap/formal/modality_w5_a.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/modality_w5_a.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,iemocap,causal_context,legacy_mmgcn_features,modality_ablation,model,YES,NO,YES,NO,NO,NO,NO,"{""model.active_modalities"":[""audio""]}",e875e4d7e6d580ec1b3d6c9c5663beac58e95f78df8d054448b7d42f47be5c9c,f78f9306d179fd1cb54769fb35aa0a48d42328bdfccfc0653075d5580e9b6669,f78f9306d179fd1cb54769fb35aa0a48d42328bdfccfc0653075d5580e9b6669,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned Batch 6 canonical path; byte content preserved; active references audited.
configs/baselines/multidag_cl/iemocap/formal/modality_w5_av.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/modality_w5_av.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,iemocap,causal_context,legacy_mmgcn_features,modality_ablation,model,YES,NO,YES,NO,NO,NO,NO,"{""model.active_modalities"":[""audio"",""visual""]}",09e826fffe347e34e58bf0f67dde87532c37c6bcac253f402d359aa210bb88a0,33378d5771aeb05800045744aed889c7ca213e011d95054ec13b575db34dabfe,33378d5771aeb05800045744aed889c7ca213e011d95054ec13b575db34dabfe,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned Batch 6 canonical path; byte content preserved; active references audited.
configs/baselines/multidag_cl/iemocap/formal/modality_w5_t.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/modality_w5_t.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,iemocap,causal_context,legacy_mmgcn_features,modality_ablation,model,YES,NO,YES,NO,NO,NO,NO,"{""model.active_modalities"":[""text""]}",3e554335f8e70e737c78a7b3af37a95b7267a9b57db2ce0c8c3fa6d3fde73e9c,d54bfef065d8de068373b74c8e08fed4cc5af69073ff9abb4fa9da93745d57e9,d54bfef065d8de068373b74c8e08fed4cc5af69073ff9abb4fa9da93745d57e9,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned Batch 6 canonical path; byte content preserved; active references audited.
configs/baselines/multidag_cl/iemocap/formal/modality_w5_ta.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/modality_w5_ta.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,iemocap,causal_context,legacy_mmgcn_features,modality_ablation,model,YES,NO,YES,NO,NO,NO,NO,"{""model.active_modalities"":[""text"",""audio""]}",2bb93e3ef06bf7277362d8541f85cc6641539d07e3debdf9724f89244fcb2fcd,69c7dac69624fe069cec8914f93df3a154518bdac484074f41eebb8195b32fed,69c7dac69624fe069cec8914f93df3a154518bdac484074f41eebb8195b32fed,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned Batch 6 canonical path; byte content preserved; active references audited.
configs/baselines/multidag_cl/iemocap/formal/modality_w5_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/modality_w5_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,iemocap,causal_context,legacy_mmgcn_features,modality_ablation,model,YES,NO,YES,NO,NO,NO,NO,"{""model.active_modalities"":[""text"",""audio"",""visual""]}",afc488151c4d2fdc45ae75d6699129f30949de00a77e5f9fd03ab23c9212bbe6,8412e1788490fe22538d64c5126b2fcbf4cf29e71146c74d7a4e648cc873d1e0,8412e1788490fe22538d64c5126b2fcbf4cf29e71146c74d7a4e648cc873d1e0,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned Batch 6 canonical path; byte content preserved; active references audited.
configs/baselines/multidag_cl/iemocap/formal/modality_w5_tv.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/modality_w5_tv.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,iemocap,causal_context,legacy_mmgcn_features,modality_ablation,model,YES,NO,YES,NO,NO,NO,NO,"{""model.active_modalities"":[""text"",""visual""]}",563c54386902abc3ad33644d962348b209b1763cd9c5aafdc35f62a1221b872d,e96c1ffe26db1b7fa7e7dde168413886483f51092564491f915373e1eab40634,e96c1ffe26db1b7fa7e7dde168413886483f51092564491f915373e1eab40634,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned Batch 6 canonical path; byte content preserved; active references audited.
