old_config_path,new_config_path,source_file,source_line,reference_type,historical_reference,requires_update,updated,remaining_reference_allowed,notes
configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,configs/analysis/four_model_causal_audit.yaml,7,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,configs/benchmarks/causal_unified/analysis/four_model_audit_synthetic.yaml,7,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,configs/pipeline/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,23,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,docs/baselines/new_causal_baselines_remote_protocol.md,53,active_doc,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,scripts/dev/validate_config_tree.py,41,dynamic_path_consumer,NO,YES,YES,NO,Validator GS-MCC causal-benchmark resolver updated to the canonical project_variant legacy-feature directory.
configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,tests/test_new_causal_benchmark_configs.py,34,dynamic_path_consumer,NO,YES,YES,NO,Causal benchmark tree test updated to resolve the canonical GS-MCC project_variant directory and renamed official-prefix config.
configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,tests/test_four_model_causal_audit.py,30,test_fixture,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses01.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses01.yaml,23,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses01.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,scripts/dev/validate_config_tree.py,41,dynamic_path_consumer,NO,YES,YES,NO,Validator GS-MCC causal-benchmark resolver updated to the canonical project_variant legacy-feature directory.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses02.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses02.yaml,23,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses02.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,scripts/dev/validate_config_tree.py,41,dynamic_path_consumer,NO,YES,YES,NO,Validator GS-MCC causal-benchmark resolver updated to the canonical project_variant legacy-feature directory.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses03.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses03.yaml,23,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses03.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,scripts/dev/validate_config_tree.py,41,dynamic_path_consumer,NO,YES,YES,NO,Validator GS-MCC causal-benchmark resolver updated to the canonical project_variant legacy-feature directory.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses04.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses04.yaml,23,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses04.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,scripts/dev/validate_config_tree.py,41,dynamic_path_consumer,NO,YES,YES,NO,Validator GS-MCC causal-benchmark resolver updated to the canonical project_variant legacy-feature directory.
configs/baselines/gsmcc/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/gsmcc/project_variant/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,scripts/dev/validate_config_tree.py,94,dynamic_path_consumer,NO,YES,YES,NO,Validator GS-MCC clean-RoBERTa resolver updated to the canonical project_variant directory.
configs/baselines/gsmcc/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/gsmcc/project_variant/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,tests/test_iemocap_clean_roberta_v1.py,66,test_fixture,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/experiments/original_merc/clean_fold_bases/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,49,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/experiments/original_merc/clean_fold_bases/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,69,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/experiments/original_merc/clean_fold_bases/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,scripts/analysis/paper_aligned/analyze_original_merc_results.py,617,python_string,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/experiments/original_merc/clean_fold_bases/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,scripts/dev/validate_config_tree.py,213,dynamic_path_consumer,NO,YES,YES,NO,Validator Original-MERC GS-MCC resolver updated to the canonical project_variant config.
configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,39,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,scripts/analysis/paper_aligned/analyze_original_merc_results.py,45,dynamic_path_consumer,NO,YES,YES,NO,Original-MERC scope classifier updated to recognize canonical GS-MCC project_variant full-context configs as formal sources.
configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,scripts/dev/validate_config_tree.py,203,dynamic_path_consumer,NO,YES,YES,NO,Validator Original-MERC GS-MCC resolver updated to the canonical project_variant config.
configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,scripts/workflows/benchmarks/run_causal8_original8.py,305,dynamic_path_consumer,NO,YES,YES,NO,Formal 16-run launcher GS-MCC resolver updated to the canonical project_variant config.
configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,tests/experiments/test_causal8_original8_launcher.py,121,test_fixture,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,tests/original_repro/test_analysis_protocol.py,116,test_fixture,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,tests/original_repro/test_analysis_protocol.py,604,test_fixture,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,tests/original_repro/test_numerical_validity.py,443,test_fixture,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/experiments/original_merc/legacy_fold_bases/gsmcc_legacy.yaml,configs/gsmcc/project_variant/iemocap/full_context/legacy_mmgcn_features/fivefold_base.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,44,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/experiments/original_merc/legacy_fold_bases/gsmcc_legacy.yaml,configs/gsmcc/project_variant/iemocap/full_context/legacy_mmgcn_features/fivefold_base.yaml,scripts/dev/validate_config_tree.py,208,dynamic_path_consumer,NO,YES,YES,NO,Validator Original-MERC GS-MCC resolver updated to the canonical project_variant config.
configs/experiments/original_merc/screening/gsmcc_legacy.yaml,configs/gsmcc/project_variant/iemocap/full_context/legacy_mmgcn_features/screening.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,34,yaml_reference,NO,YES,YES,NO,Active Batch 5 reference updated to the exact planned GS-MCC project_variant canonical path.
configs/experiments/original_merc/screening/gsmcc_legacy.yaml,configs/gsmcc/project_variant/iemocap/full_context/legacy_mmgcn_features/screening.yaml,scripts/dev/validate_config_tree.py,198,dynamic_path_consumer,NO,YES,YES,NO,Validator Original-MERC GS-MCC resolver updated to the canonical project_variant config.
configs/experiments/original_merc/screening/gsmcc_legacy.yaml,configs/gsmcc/project_variant/iemocap/full_context/legacy_mmgcn_features/screening.yaml,scripts/workflows/benchmarks/run_causal8_original8.py,301,dynamic_path_consumer,NO,YES,YES,NO,Formal 16-run launcher GS-MCC resolver updated to the canonical project_variant config.
