old_path,new_path,model,implementation,dataset,context_mode,feature_set,purpose,scope,is_smoke,pre_move_sha256,post_move_sha256,yaml_content_changed,approved_changed_keys,active_reference_count,test_reference_count,doc_reference_count,status,notes
configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,mmgcn,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,77abb028d8050f2df192a2fc7e14931ee1878be4fe3633876f430d092b458930,77abb028d8050f2df192a2fc7e14931ee1878be4fe3633876f430d092b458930,NO,,2,1,0,MOVED,Moved to the planned canonical path without content changes.
configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,mmgcn,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,84a431c259d74f89aae3123d0392681bbab17d9f7df28b17ab4adfb49adc7987,84a431c259d74f89aae3123d0392681bbab17d9f7df28b17ab4adfb49adc7987,NO,,3,0,0,MOVED,Moved to the planned canonical path without content changes.
configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses02.yaml,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,mmgcn,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,02c76009c782a6c92774959c9cddbafe868ecb11d53ffbc9a0e6b6280cc977db,02c76009c782a6c92774959c9cddbafe868ecb11d53ffbc9a0e6b6280cc977db,NO,,3,0,0,MOVED,Moved to the planned canonical path without content changes.
configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses03.yaml,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,mmgcn,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,33d1be485446c72d68404f66b062222cd0512957c661a448c6c42dc82ff94630,33d1be485446c72d68404f66b062222cd0512957c661a448c6c42dc82ff94630,NO,,3,0,0,MOVED,Moved to the planned canonical path without content changes.
configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses04.yaml,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,mmgcn,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,ad93361e0e3397f1410362eaa18d12dd8a2614a62fbda3e1f376ab69e2cebafe,ad93361e0e3397f1410362eaa18d12dd8a2614a62fbda3e1f376ab69e2cebafe,NO,,3,0,0,MOVED,Moved to the planned canonical path without content changes.
configs/baselines/mmgcn/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/mmgcn/unified/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,mmgcn,unified,iemocap,causal_context,clean_roberta_features,formal,model,NO,9a3502716fe23edc01a5341537ec8274d90d2067ed27b02c6187a7c25720501c,9a3502716fe23edc01a5341537ec8274d90d2067ed27b02c6187a7c25720501c,NO,,1,1,0,MOVED,Moved to the planned canonical path without content changes.
configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml,configs/mmgcn/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,mmgcn,unified,iemocap,causal_context,clean_roberta_features,formal,model,NO,5650b91fa55b8201bd725d48d5da6c8570628303448b1810e8b8f227836ea656,50d0ef3953fe65b89ed26da9b45fc93301f9a7ef38564bb4c3b4a017683bafff,YES,source_config,3,1,0,MOVED,Moved to the planned canonical path; source_config updated to its exact Batch 2 target.
configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml,configs/mmgcn/unified/iemocap/causal_context/clean_roberta_features/val_ses02.yaml,mmgcn,unified,iemocap,causal_context,clean_roberta_features,formal,model,NO,193b9ac3dd6d934fb73d243ddef4f45d1fa0ed6a5d99c9d4f6ddda024786ef06,052d6c68832254a9e251f49af94c093e771a8eb40f4ac42cf353512a04f81760,YES,source_config,3,1,0,MOVED,Moved to the planned canonical path; source_config updated to its exact Batch 2 target.
configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml,configs/mmgcn/unified/iemocap/causal_context/clean_roberta_features/val_ses03.yaml,mmgcn,unified,iemocap,causal_context,clean_roberta_features,formal,model,NO,c06c62a0e2e923133441d684a2b9065b6f3fc94de929b326c8f84dfc950a1152,6d33c74111d5dbc26f8b6f17c1a777a4f761825c3dbfc8752d546624e8f53fc0,YES,source_config,3,1,0,MOVED,Moved to the planned canonical path; source_config updated to its exact Batch 2 target.
configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml,configs/mmgcn/unified/iemocap/causal_context/clean_roberta_features/val_ses04.yaml,mmgcn,unified,iemocap,causal_context,clean_roberta_features,formal,model,NO,eb56e7d06587bfac2424c58c26c7a3bc45a2628973c07ed3f77d74a0c64e2a80,4b0b645f1fe4e75821686621ea2e4f8f892a1609fd2e2043609c954ac1b75969,YES,source_config,3,1,0,MOVED,Moved to the planned canonical path; source_config updated to its exact Batch 2 target.
configs/experiments/original_merc/clean_fold_bases/mmgcn_clean.yaml,configs/mmgcn/paper_aligned/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,mmgcn,paper_aligned,iemocap,full_context,clean_roberta_features,formal,model,NO,6b92ddc69210c730934548f191d3a093dc121a5c60b745c5ed5cc47901979b22,6b92ddc69210c730934548f191d3a093dc121a5c60b745c5ed5cc47901979b22,NO,,4,1,0,MOVED,Moved to the planned canonical path without content changes.
configs/experiments/original_merc/clean_screening/mmgcn_clean.yaml,configs/mmgcn/paper_aligned/iemocap/full_context/clean_roberta_features/mmgcn_clean.yaml,mmgcn,paper_aligned,iemocap,full_context,clean_roberta_features,formal,model,NO,cacfca0deec35961282494234633ef52bbc788ec6a5928a0e308fe82167fc0c1,cacfca0deec35961282494234633ef52bbc788ec6a5928a0e308fe82167fc0c1,NO,,3,2,0,MOVED,Moved to the planned canonical path without content changes.
configs/experiments/original_merc/legacy_fold_bases/mmgcn_legacy.yaml,configs/mmgcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/fivefold_base.yaml,mmgcn,paper_aligned,iemocap,full_context,legacy_mmgcn_features,formal,model,NO,633917950349e03a8b0f13a773beb52e848b99794d22a4694f631a49e4954415,633917950349e03a8b0f13a773beb52e848b99794d22a4694f631a49e4954415,NO,,2,1,0,MOVED,Moved to the planned canonical path without content changes.
configs/experiments/original_merc/screening/mmgcn_legacy.yaml,configs/mmgcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/screening.yaml,mmgcn,paper_aligned,iemocap,full_context,legacy_mmgcn_features,screening,model,NO,04e845b15586f9ee4262f0f0760cb193003bd400b6b46e53cc7bbac9ffd441b6,04e845b15586f9ee4262f0f0760cb193003bd400b6b46e53cc7bbac9ffd441b6,NO,,3,2,0,MOVED,Moved to the planned canonical path without content changes.
configs/train_mmgcn_iemocap_official.yaml,configs/mmgcn/unified/iemocap/full_context/legacy_mmgcn_features/val_official_prefix.yaml,mmgcn,unified,iemocap,full_context,legacy_mmgcn_features,formal,model,NO,f0ac6e231a554b1d48360474c21ffe5dbd6fe4f81eee0edacd099d95082df9d1,f0ac6e231a554b1d48360474c21ffe5dbd6fe4f81eee0edacd099d95082df9d1,NO,,2,0,6,MOVED,Moved to the planned canonical path without content changes.
configs/train_mmgcn_m3ed.yaml,configs/mmgcn/unified/m3ed/full_context/m3ed_features/skeleton.yaml,mmgcn,unified,m3ed,full_context,m3ed_features,development,model,NO,1235dbbbfa5558a0e138a4dd9f30ae50a33812280182e8407bf7a624a257de27,1235dbbbfa5558a0e138a4dd9f30ae50a33812280182e8407bf7a624a257de27,NO,,19,0,10,MOVED,Moved to the planned canonical path without content changes.
configs/train_mmgcn_m3ed_causal.yaml,configs/mmgcn/unified/m3ed/causal_context/m3ed_features/skeleton.yaml,mmgcn,unified,m3ed,causal_context,m3ed_features,development,model,NO,17f6d217e64f58cee1c56d2f2d70cddc21158b12e35af57285e79ec26cb1ddbb,17f6d217e64f58cee1c56d2f2d70cddc21158b12e35af57285e79ec26cb1ddbb,NO,,0,1,1,MOVED,Moved to the planned canonical path without content changes.
