old_path,new_path,model,implementation,dataset,context_mode,feature_set,purpose,scope,is_smoke,pre_move_sha256,post_move_sha256,yaml_content_changed,approved_changed_keys,active_reference_count,test_reference_count,doc_reference_count,status,notes
configs/analysis/four_model_causal_audit_synthetic.yaml,configs/benchmarks/causal_unified/analysis/four_model_audit_synthetic.yaml,,,synthetic,causal_context,synthetic,analysis,analysis,NO,ed55a6033ee1575869d25fc687e964fbd47848b0740f900bfb5eeddea1bade69,ed55a6033ee1575869d25fc687e964fbd47848b0740f900bfb5eeddea1bade69,NO,,0,0,0,MOVED,Moved with git mv; byte content preserved; references audited.
configs/data/iemocap_feature_sets.yaml,configs/_shared/data/iemocap/feature_sets.yaml,,,iemocap,,,shared_data,shared_data,NO,a4fa15c479e056986d3b54a695424c592f7c9634cbd4e157423fa08c8b573212,a4fa15c479e056986d3b54a695424c592f7c9634cbd4e157423fa08c8b573212,NO,,4,2,0,MOVED,Moved with git mv; byte content preserved; references audited.
configs/smoke/causal_dialoguegcn_iemocap_synthetic.yaml,configs/dialoguegcn/unified/synthetic/causal_context/synthetic/audit_fixture.yaml,dialoguegcn,unified,synthetic,causal_context,synthetic,smoke,model,YES,6cbe3f9851d98c55a9cd951c04802e975cde4ec3e9cebcb39d5ee2c4e6f376af,6cbe3f9851d98c55a9cd951c04802e975cde4ec3e9cebcb39d5ee2c4e6f376af,NO,,0,0,1,MOVED,Moved with git mv; byte content preserved; references audited.
configs/smoke/causal_gsmcc_iemocap_synthetic.yaml,configs/gsmcc/project_variant/synthetic/causal_context/synthetic/audit_fixture.yaml,gsmcc,project_variant,synthetic,causal_context,synthetic,smoke,model,YES,41a05c942ad0fa2325120b830a4a664303c41e53af87f53514e98cc8d2d92ed9,41a05c942ad0fa2325120b830a4a664303c41e53af87f53514e98cc8d2d92ed9,NO,,0,0,1,MOVED,Moved with git mv; byte content preserved; references audited.
configs/smoke/original_repro/dialoguegcn_clean.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml,dialoguegcn,paper_aligned,iemocap,full_context,clean_roberta_features,smoke,model,YES,96801061aa80552d575576ce895742cf483cc6dde4741115c5f53de32f124605,96801061aa80552d575576ce895742cf483cc6dde4741115c5f53de32f124605,NO,,1,0,0,MOVED,Moved with git mv; byte content preserved; references audited.
configs/smoke/original_repro/dialoguegcn_legacy.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml,dialoguegcn,paper_aligned,iemocap,full_context,legacy_mmgcn_features,smoke,model,YES,8776cac7f7d00a15460be70693eb750bc57fdc0ad4d5e26dbcb24d8f15218f58,8776cac7f7d00a15460be70693eb750bc57fdc0ad4d5e26dbcb24d8f15218f58,NO,,1,0,0,MOVED,Moved with git mv; byte content preserved; references audited.
configs/smoke/original_repro/mmgcn_clean.yaml,configs/mmgcn/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml,mmgcn,paper_aligned,iemocap,full_context,clean_roberta_features,smoke,model,YES,681db08fdfda7e3962f6ae176d0f42874ccf74a240f784f1a2b6c3317d0be81c,681db08fdfda7e3962f6ae176d0f42874ccf74a240f784f1a2b6c3317d0be81c,NO,,1,0,0,MOVED,Moved with git mv; byte content preserved; references audited.
configs/smoke/original_repro/mmgcn_legacy.yaml,configs/mmgcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml,mmgcn,paper_aligned,iemocap,full_context,legacy_mmgcn_features,smoke,model,YES,7bd92742c15ac0ed519e035e993cd3c08e38320dd29367ce76c1378d76171f7d,7bd92742c15ac0ed519e035e993cd3c08e38320dd29367ce76c1378d76171f7d,NO,,2,0,1,MOVED,Moved with git mv; byte content preserved; references audited.
configs/smoke/original_repro/multidag_cl_clean.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml,multidag_cl,paper_aligned,iemocap,full_context,clean_roberta_features,smoke,model,YES,cb0f73cdd0af5e40e5decf927412b8fe07eefb94d487beef98d8f46bd7e75c23,cb0f73cdd0af5e40e5decf927412b8fe07eefb94d487beef98d8f46bd7e75c23,NO,,1,0,0,MOVED,Moved with git mv; byte content preserved; references audited.
configs/smoke/original_repro/multidag_cl_legacy.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml,multidag_cl,paper_aligned,iemocap,full_context,legacy_mmgcn_features,smoke,model,YES,c833701fafa4153c567a5c6de580905f7a7bc489d48c507e72f29e4b135717ef,c833701fafa4153c567a5c6de580905f7a7bc489d48c507e72f29e4b135717ef,NO,,1,0,0,MOVED,Moved with git mv; byte content preserved; references audited.
configs/smoke/train_causal_dialoguegcn_end_to_end.yaml,configs/dialoguegcn/unified/synthetic/causal_context/synthetic/smoke_end_to_end.yaml,dialoguegcn,unified,synthetic,causal_context,synthetic,smoke,model,YES,333d39c052d0707ee1564511592a55f8b634d31af5b5f21570e8f8b9326b0386,333d39c052d0707ee1564511592a55f8b634d31af5b5f21570e8f8b9326b0386,NO,,2,2,0,MOVED,Moved with git mv; byte content preserved; references audited.
