old_path,new_path,model,implementation,dataset,context_mode,feature_set,purpose,scope,is_smoke,is_formal,is_project_variant,is_official,pre_move_sha256,post_move_sha256,yaml_content_changed,approved_changed_keys,active_reference_count,test_reference_count,doc_reference_count,yaml_reference_count,status,notes
configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,gsmcc,project_variant,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,YES,YES,NO,615fa4063359d5166545cd58c5632b65d5f331127a808e7140a1f9fb321a6199,615fa4063359d5166545cd58c5632b65d5f331127a808e7140a1f9fb321a6199,NO,,1,2,1,3,MOVED,Moved with git mv to the exact planned GS-MCC project_variant path; byte content preserved; active references audited.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses01.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,gsmcc,project_variant,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,YES,YES,NO,9e2c91a903ccce5fbe33bb5599d5cb85e53f93ecfc48cf866531b10a496332fb,9e2c91a903ccce5fbe33bb5599d5cb85e53f93ecfc48cf866531b10a496332fb,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned GS-MCC project_variant path; byte content preserved; active references audited.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses02.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,gsmcc,project_variant,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,YES,YES,NO,b570cf9267d41427bc2a0228007aa472d3c4bb0d59a0370bb5b98b94f9c3fa8c,b570cf9267d41427bc2a0228007aa472d3c4bb0d59a0370bb5b98b94f9c3fa8c,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned GS-MCC project_variant path; byte content preserved; active references audited.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses03.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,gsmcc,project_variant,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,YES,YES,NO,101536aa3e2a13fea74272de2b56938eadeba1d724dfb794f2c20a6189d09e03,101536aa3e2a13fea74272de2b56938eadeba1d724dfb794f2c20a6189d09e03,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned GS-MCC project_variant path; byte content preserved; active references audited.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses04.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,gsmcc,project_variant,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,YES,YES,NO,d141d28e6dc3120985e2d35b7a8934494554892d590ce45340d4e9d2a9582209,d141d28e6dc3120985e2d35b7a8934494554892d590ce45340d4e9d2a9582209,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned GS-MCC project_variant path; byte content preserved; active references audited.
configs/baselines/gsmcc/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/gsmcc/project_variant/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,gsmcc,project_variant,iemocap,causal_context,clean_roberta_features,formal,model,YES,YES,YES,NO,18e97f64fc44eca6ecb8f8976dbe3bf9d77cb9611018c3a1128e0a159b6912cb,18e97f64fc44eca6ecb8f8976dbe3bf9d77cb9611018c3a1128e0a159b6912cb,NO,,1,1,0,0,MOVED,Moved with git mv to the exact planned GS-MCC project_variant path; byte content preserved; active references audited.
configs/experiments/original_merc/clean_fold_bases/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,gsmcc,project_variant,iemocap,full_context,clean_roberta_features,formal,model,NO,YES,YES,NO,f795ecf7142fb7d4d504ab1ac12a49701565b38690212779cdff6c1e4a76f38f,f795ecf7142fb7d4d504ab1ac12a49701565b38690212779cdff6c1e4a76f38f,NO,,2,0,0,2,MOVED,Moved with git mv to the exact planned GS-MCC project_variant path; byte content preserved; active references audited.
configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,gsmcc,project_variant,iemocap,full_context,clean_roberta_features,formal,model,NO,YES,YES,NO,19394aa5f5147e217bcaf1a421164deac178acb8bcf070f657995cb0afd6ba86,19394aa5f5147e217bcaf1a421164deac178acb8bcf070f657995cb0afd6ba86,NO,,3,4,0,1,MOVED,Moved with git mv to the exact planned GS-MCC project_variant path; byte content preserved; active references audited.
configs/experiments/original_merc/legacy_fold_bases/gsmcc_legacy.yaml,configs/gsmcc/project_variant/iemocap/full_context/legacy_mmgcn_features/fivefold_base.yaml,gsmcc,project_variant,iemocap,full_context,legacy_mmgcn_features,formal,model,NO,YES,YES,NO,7f31756d3eaf203342f2dab040d5ac785c78e7b30c49c52f1e870e957a29cc43,7f31756d3eaf203342f2dab040d5ac785c78e7b30c49c52f1e870e957a29cc43,NO,,1,0,0,1,MOVED,Moved with git mv to the exact planned GS-MCC project_variant path; byte content preserved; active references audited.
configs/experiments/original_merc/screening/gsmcc_legacy.yaml,configs/gsmcc/project_variant/iemocap/full_context/legacy_mmgcn_features/screening.yaml,gsmcc,project_variant,iemocap,full_context,legacy_mmgcn_features,screening,model,NO,NO,YES,NO,f356d723706ec61baf2e028cea0c7e562ad30cdc0070ec09c046f7d9c8affeb7,f356d723706ec61baf2e028cea0c7e562ad30cdc0070ec09c046f7d9c8affeb7,NO,,2,3,0,1,MOVED,Moved with git mv to the exact planned GS-MCC project_variant path; byte content preserved; active references audited.
configs/smoke/original_repro/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/smoke.yaml,gsmcc,project_variant,iemocap,full_context,clean_roberta_features,smoke,model,YES,NO,YES,NO,144495e44fbdc650a4924f0efd6c9cc1746ab0a00b42bc9dcbd76c1371be2e06,144495e44fbdc650a4924f0efd6c9cc1746ab0a00b42bc9dcbd76c1371be2e06,NO,,2,1,0,1,MOVED,Moved with git mv to the exact planned GS-MCC project_variant path; byte content preserved; active references audited.
