old_config_path,source_file,source_line,reference_type,historical_reference,updated,new_config_path,remaining_reference_allowed,notes
configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,configs/analysis/four_model_causal_audit.yaml,3,yaml_reference,YES,NO,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,YES,Phase 4A graph-frozen historical reference; source YAML is outside the permitted Batch 2 edit scope.
configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,configs/benchmarks/causal_unified/analysis/four_model_audit_synthetic.yaml,3,yaml_reference,YES,NO,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,YES,Phase 4A graph-frozen historical reference; source YAML is outside the permitted Batch 2 edit scope.
configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,configs/pipeline/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,23,yaml_reference,NO,YES,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,NO,Active reference updated to the Batch 2 canonical path.
configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,scripts/dev/validate_config_tree.py,22,dynamic_path_construction,NO,YES,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,NO,Dynamic/composed old-path consumer found by regression execution and updated to the Batch 2 canonical path.
configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,tests/test_four_model_causal_audit.py,28,test_fixture,NO,YES,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,NO,Active reference updated to the Batch 2 canonical path.
configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,configs/mmgcn/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,65,yaml_reference,NO,YES,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,NO,Active reference updated to the Batch 2 canonical path.
configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,23,yaml_reference,NO,YES,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,NO,Active reference updated to the Batch 2 canonical path.
configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,scripts/dev/validate_config_tree.py,22,dynamic_path_construction,NO,YES,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,NO,Dynamic/composed old-path consumer found by regression execution and updated to the Batch 2 canonical path.
configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses02.yaml,configs/mmgcn/unified/iemocap/causal_context/clean_roberta_features/val_ses02.yaml,65,yaml_reference,NO,YES,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,NO,Active reference updated to the Batch 2 canonical path.
configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses02.yaml,configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses02.yaml,23,yaml_reference,NO,YES,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,NO,Active reference updated to the Batch 2 canonical path.
