old_path,new_path,model,implementation,dataset,context_mode,feature_set,purpose,scope,is_smoke,is_formal,is_paper_aligned,is_official,pre_move_sha256,post_move_sha256,yaml_content_changed,approved_changed_keys,active_reference_count,test_reference_count,doc_reference_count,yaml_reference_count,status,notes
configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,multidag_cl,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,YES,NO,NO,e8e23a5a116b246ead56bb86fe3c39d70e121e40dfb5f586bdbb73dae9df6671,e8e23a5a116b246ead56bb86fe3c39d70e121e40dfb5f586bdbb73dae9df6671,NO,,1,1,0,3,MOVED,Moved with git mv; byte content preserved.
configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses01.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,multidag_cl,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,YES,NO,NO,9a7136cb38ffe97f620d72edbbe429881d992bb72e20486ca592cd39dd54f9a4,9a7136cb38ffe97f620d72edbbe429881d992bb72e20486ca592cd39dd54f9a4,NO,,1,0,0,2,MOVED,Moved with git mv; byte content preserved.
configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses02.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,multidag_cl,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,YES,NO,NO,bf0783c608519d801ac406d1c8d9b38b3c336b556bf0ca25ffd1b0964f174e9f,bf0783c608519d801ac406d1c8d9b38b3c336b556bf0ca25ffd1b0964f174e9f,NO,,1,0,0,2,MOVED,Moved with git mv; byte content preserved.
configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses03.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,multidag_cl,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,YES,NO,NO,cb1be74682094567479212f3b6173c87e92b461f1f972bdf73ce67c6212ab17e,cb1be74682094567479212f3b6173c87e92b461f1f972bdf73ce67c6212ab17e,NO,,1,0,0,2,MOVED,Moved with git mv; byte content preserved.
configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses04.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,multidag_cl,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,YES,NO,NO,096054fc0d8e7b7ebb573c2678222c1b283e18a58f2d43f641c3c52dc09d23db,096054fc0d8e7b7ebb573c2678222c1b283e18a58f2d43f641c3c52dc09d23db,NO,,1,0,0,2,MOVED,Moved with git mv; byte content preserved.
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,multidag_cl,unified,iemocap,causal_context,clean_roberta_features,formal,model,YES,YES,NO,NO,90010549833de93d5a2beefae1ec0009943e7d8aad7e3b5d2d56be2acb7ade89,90010549833de93d5a2beefae1ec0009943e7d8aad7e3b5d2d56be2acb7ade89,NO,,1,1,0,0,MOVED,Moved with git mv; byte content preserved.
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses01.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,multidag_cl,unified,iemocap,causal_context,clean_roberta_features,formal,model,NO,YES,NO,NO,4c345bc68a0e729e4a9217b5e5c6debb8b9c17db4ea800a402033cb77bd846ec,3e9f562404ebbfc118edb29aba1b926da80dc78be9c9bf7cb06d20c746f16633,YES,source_config,1,1,0,2,MOVED,Moved with git mv; source_config updated to the exact Batch 3 target.
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses02.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses02.yaml,multidag_cl,unified,iemocap,causal_context,clean_roberta_features,formal,model,NO,YES,NO,NO,2b4ed029cc9005329cfe2c473edb29e808f4e8b8c6d7bb9dafe1ebce90c27ba6,0c9215b198df6a72f2e378d94f37a4c6c338fca3ddeb735aebc838ddcb69753f,YES,source_config,1,1,0,2,MOVED,Moved with git mv; source_config updated to the exact Batch 3 target.
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses03.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses03.yaml,multidag_cl,unified,iemocap,causal_context,clean_roberta_features,formal,model,NO,YES,NO,NO,89b5556ed9b5dd0445f0785c3f5583a24173c2a27edf16f3b899d767766250ba,fb83731e476f3604356ce6e89c408185bffb517869c19091b1dc6f69465dc7ce,YES,source_config,1,1,0,2,MOVED,Moved with git mv; source_config updated to the exact Batch 3 target.
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses04.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses04.yaml,multidag_cl,unified,iemocap,causal_context,clean_roberta_features,formal,model,NO,YES,NO,NO,1595fa0a8e949e59a8bf9f558b8337dd9d688f3a27cff0c321c8e78e5cbd41db,f570261d3ec1d74650793366b2e2fad3067a36846bdbae0b75d82f5054bb66a1,YES,source_config,1,1,0,2,MOVED,Moved with git mv; source_config updated to the exact Batch 3 target.
configs/baselines/multidag_cl/iemocap/debug/context_past_all_causal_tav_smoke.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_past_all_causal_tav_smoke.yaml,multidag_cl,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,YES,YES,NO,NO,c04c8281354b42dcaf038266d545455147dd6ee4b66764b3410cf0d4975bd378,c04c8281354b42dcaf038266d545455147dd6ee4b66764b3410cf0d4975bd378,NO,,0,0,0,1,MOVED,Moved with git mv; byte content preserved.
configs/baselines/multidag_cl/iemocap/debug/context_w5_tav_quick.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w5_tav_quick.yaml,multidag_cl,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,NO,YES,NO,NO,2e4372381fd11a7245fc90be81ff9f6b57d4a0b4c3f5f80e81b28941f8c65b59,2e4372381fd11a7245fc90be81ff9f6b57d4a0b4c3f5f80e81b28941f8c65b59,NO,,0,0,0,1,MOVED,Moved with git mv; byte content preserved.
configs/baselines/multidag_cl/iemocap/debug/context_w5_tav_smoke.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w5_tav_smoke.yaml,multidag_cl,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,YES,YES,NO,NO,7d2aebc3628ddeb68b6a8c61838496550aea35a114145d90922b24290f36b25c,7d2aebc3628ddeb68b6a8c61838496550aea35a114145d90922b24290f36b25c,NO,,0,0,0,1,MOVED,Moved with git mv; byte content preserved.
configs/experiments/original_merc/clean_fold_bases/multidag_cl_clean.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,multidag_cl,paper_aligned,iemocap,full_context,clean_roberta_features,formal,model,NO,YES,YES,NO,bf90fee05d464e5bee7ab29b57e300af5c9df631ed4c677df659262e8fead144,bf90fee05d464e5bee7ab29b57e300af5c9df631ed4c677df659262e8fead144,NO,,2,0,0,2,MOVED,Moved with git mv; byte content preserved.
configs/experiments/original_merc/clean_screening/multidag_cl_clean.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/multidag_cl_clean.yaml,multidag_cl,paper_aligned,iemocap,full_context,clean_roberta_features,formal,model,NO,YES,YES,NO,fc62f6fb62228ca36ae0517015c4294567e279e1e1279bac3256bddb2a61330b,fc62f6fb62228ca36ae0517015c4294567e279e1e1279bac3256bddb2a61330b,NO,,2,1,0,1,MOVED,Moved with git mv; byte content preserved.
configs/experiments/original_merc/legacy_fold_bases/multidag_cl_legacy.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/legacy_mmgcn_features/fivefold_base.yaml,multidag_cl,paper_aligned,iemocap,full_context,legacy_mmgcn_features,formal,model,NO,YES,YES,NO,652b6aea634d655ef4b25ebb92b3c1da72948cdebf8f56bef47fd576d71c58ad,652b6aea634d655ef4b25ebb92b3c1da72948cdebf8f56bef47fd576d71c58ad,NO,,1,0,0,1,MOVED,Moved with git mv; byte content preserved.
configs/experiments/original_merc/screening/multidag_cl_legacy.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/legacy_mmgcn_features/screening.yaml,multidag_cl,paper_aligned,iemocap,full_context,legacy_mmgcn_features,screening,model,NO,NO,YES,NO,30f345fcc9128b2a80865125d3bf80c21c17ed377b81519a540e4a9a8c8bf8ea,30f345fcc9128b2a80865125d3bf80c21c17ed377b81519a540e4a9a8c8bf8ea,NO,,2,1,0,1,MOVED,Moved with git mv; byte content preserved.
