old_path,candidate_new_path,model,implementation,dataset,context_mode,feature_set,purpose,scope,migration_batch,requires_script_update,requires_test_update,requires_doc_update,requires_yaml_reference_update,requires_entrypoint_update,collision_status,manual_review,risk_level,confidence,notes
configs/analysis/causal_benchmark_8run_review.yaml,configs/benchmarks/causal_unified/analysis/eight_run_review.yaml,,,iemocap,causal_context,legacy_mmgcn_features,analysis,analysis,Batch 7,NO,NO,NO,NO,NO,CLEAR,NO,low,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/analysis/four_model_causal_audit.yaml,configs/benchmarks/causal_unified/analysis/four_model_audit_formal.yaml,,,iemocap,causal_context,legacy_mmgcn_features,analysis,analysis,Batch 7,NO,NO,YES,NO,NO,CLEAR,NO,low,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/analysis/four_model_causal_audit_synthetic.yaml,configs/benchmarks/causal_unified/analysis/four_model_audit_synthetic.yaml,,,synthetic,causal_context,synthetic,analysis,analysis,Batch 1,NO,NO,NO,NO,NO,CLEAR,NO,low,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/analysis/multi_run_final_analysis.yaml,configs/benchmarks/paper/analysis/multi_run_metrics.yaml,mmgcn,unified,iemocap,,,analysis,analysis,Batch 7,NO,NO,NO,YES,NO,CLEAR,NO,low,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/analysis/multi_run_training_curves.yaml,configs/benchmarks/paper/analysis/multi_run_curves.yaml,mmgcn,unified,iemocap,,,analysis,analysis,Batch 7,NO,NO,NO,YES,NO,CLEAR,NO,low,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/analysis/multidag_cl/iemocap/context_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/context_compare.yaml,multidag_cl,unified,iemocap,,,analysis,analysis,Batch 7,NO,NO,YES,NO,NO,CLEAR,NO,low,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/analysis/multidag_cl/iemocap/core_results_compare.yaml,configs/benchmarks/paper/analysis/multidag_cl/core_results_compare.yaml,multidag_cl,unified,iemocap,,,analysis,analysis,Batch 7,NO,NO,YES,NO,NO,CLEAR,NO,low,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/analysis/multidag_cl/iemocap/loss_stability/loss_stability_w5_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/loss_stability_w5_compare.yaml,multidag_cl,unified,iemocap,causal_context,legacy_mmgcn_features,analysis,analysis,Batch 7,NO,NO,NO,NO,NO,CLEAR,NO,low,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/analysis/multidag_cl/iemocap/modality_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/modality_compare.yaml,multidag_cl,unified,iemocap,,,analysis,analysis,Batch 7,NO,NO,YES,NO,NO,CLEAR,NO,low,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/analysis/multidag_cl/iemocap/stabilization_20260709_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/stabilization_compare_20260709.yaml,multidag_cl,unified,iemocap,causal_context,,analysis,analysis,Batch 7,NO,NO,NO,NO,NO,CLEAR,NO,low,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/analysis/multidag_cl/iemocap/stable_context_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/stable_context_compare.yaml,multidag_cl,unified,iemocap,,,analysis,analysis,Batch 7,NO,NO,YES,NO,NO,CLEAR,NO,low,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,dialoguegcn,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,Batch 4,NO,YES,YES,YES,NO,CLEAR,NO,medium,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,dialoguegcn,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,Batch 4,NO,NO,NO,YES,NO,CLEAR,NO,medium,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,dialoguegcn,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,Batch 4,NO,NO,NO,YES,NO,CLEAR,NO,medium,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,dialoguegcn,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,Batch 4,NO,NO,NO,YES,NO,CLEAR,NO,medium,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,dialoguegcn,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,Batch 4,NO,NO,NO,YES,NO,CLEAR,NO,medium,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/dialoguegcn/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/dialoguegcn/unified/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,dialoguegcn,unified,iemocap,causal_context,clean_roberta_features,formal,model,Batch 4,NO,YES,NO,NO,NO,CLEAR,NO,medium,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,gsmcc,project_variant,iemocap,causal_context,legacy_mmgcn_features,formal,model,Batch 5,NO,YES,YES,YES,NO,CLEAR,NO,high,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses01.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,gsmcc,project_variant,iemocap,causal_context,legacy_mmgcn_features,formal,model,Batch 5,NO,NO,NO,YES,NO,CLEAR,NO,high,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses02.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,gsmcc,project_variant,iemocap,causal_context,legacy_mmgcn_features,formal,model,Batch 5,NO,NO,NO,YES,NO,CLEAR,NO,high,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses03.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,gsmcc,project_variant,iemocap,causal_context,legacy_mmgcn_features,formal,model,Batch 5,NO,NO,NO,YES,NO,CLEAR,NO,high,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses04.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,gsmcc,project_variant,iemocap,causal_context,legacy_mmgcn_features,formal,model,Batch 5,NO,NO,NO,YES,NO,CLEAR,NO,high,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/gsmcc/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/gsmcc/project_variant/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,gsmcc,project_variant,iemocap,causal_context,clean_roberta_features,formal,model,Batch 5,NO,YES,NO,NO,NO,CLEAR,NO,high,high,Content-derived classification; no YAML move or edit in Phase 4A.
configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,configs/mmgcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,mmgcn,unified,iemocap,causal_context,legacy_mmgcn_features,formal,model,Batch 2,NO,YES,NO,YES,NO,CLEAR,NO,medium,high,Content-derived classification; no YAML move or edit in Phase 4A.
